C.D.S.  -  SIMBAD4 rel 1.7  -  2019.03.13CET12:46:57

V < 4 & cat = 'hip'
-------------------

Number of objects : 512

 # |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |      spec. type      |#bib|#not
---|-------------------------|---|---------------------------------------|------|------|------|------|------|----------------------|----|----
1  |* tau Cyg                |dS*|21 14 47.49252 +38 02 43.1441          | 4.140| 4.120| 3.730| 3.38 | 3.14 |F2IV                  | 245|   0
2  |* lam And                |RS*|23 37 33.8426114 +46 27 29.337984      | 5.54 | 4.84 | 3.82 | 3.04 | 2.47 |G8IVk                 | 635|   0
3  |* gam And                |** |02 03 53.95229 +42 19 47.0223          |     ~| 3.30 | 2.10 |     ~|     ~|K3II+B9.5V+A0V        |  20|   1
4  |* rho Per                |LP*|03 05 10.59385 +38 50 24.9943          | 6.83 | 5.04 | 3.39 | 1.59 |-0.03 |M4+IIIa               | 301|   0
5  |* nu. Cyg                |** |20 57 10.4190684 +41 10 01.699109      | 3.96 | 3.96 | 3.94 | 3.89 | 3.89 |A1Vne                 | 144|   0
6  |* ksi Cyg                |SB*|21 04 55.8622910 +43 55 40.264460      | 7.17 | 5.39 | 3.73 | 2.55 | 1.63 |K4.5Ib-II             | 291|   0
7  |* alf Lac                |PM*|22 31 17.5013090 +50 16 56.968200      | 3.78 | 3.78 | 3.77 | 3.77 | 3.80 |A1V                   | 236|   0
8  |* ups Per                |PM*|01 37 59.5569926 +48 37 41.569533      | 6.29 | 4.85 | 3.57 | 2.61 | 1.96 |K3-IIICN0.5           | 212|   0
9  |* bet Per                |Al*|03 08 10.1324535 +40 57 20.328013      | 1.70 | 2.07 | 2.12 | 2.08 | 2.11 |B8V                   |1123|   2
10 |* gam Cyg                |V* |20 22 13.7018357 +40 15 24.044963      | 3.44 | 2.90 | 2.23 | 1.74 | 1.40 |F8Ib                  | 537|   0
11 |* zet Cas                |Pu*|00 36 58.2841866 +53 53 48.867311      | 2.58 | 3.47 | 3.66 | 3.74 | 3.95 |B2IV                  | 412|   0
12 |* kap Per                |PM*|03 09 29.7715574 +44 51 27.146337      | 5.62 | 4.79 | 3.81 | 3.07 | 2.57 |G9.5IIIb              | 221|   0
13 |* alf Cyg                |sg*|20 41 25.91514 +45 16 49.2197          | 1.11 | 1.34 | 1.25 | 1.14 | 1.04 |A2Ia                  | 706|   0
14 |* alf Cas                |PM*|00 40 30.4410679 +56 32 14.392170      | 4.52 | 3.40 | 2.23 | 1.45 | 0.85 |K0-IIIa               | 315|   0
15 |* eta Cas                |SB*|00 49 06.2907161 +57 48 54.675740      | 4.04 | 4.02 | 3.44 | 2.94 | 2.58 |F9V+M0-V              | 583|   0
16 |* nu. Per                |*  |03 45 11.6320341 +42 34 42.782888      | 4.50 | 4.22 | 3.80 | 3.40 | 3.13 |F4II                  | 116|   0
17 |* zet Cep                |EB*|22 10 51.2769159 +58 12 04.545587      | 6.62 | 4.90 | 3.35 | 2.27 | 1.49 |K1.5Ib                | 256|   0
18 |* del Cep                |cC*|22 29 10.2565329781 +58 24 54.684865728| 4.71 | 4.35 | 3.75 |     ~| 3.219|F5Iab:+B7-8           | 662|   2
19 |* bet Cas                |dS*|00 09 10.68518 +59 08 59.2120          | 2.73 | 2.61 | 2.27 | 1.97 | 1.77 |F2III                 | 488|   0
20 |* gam Cas                |Be*|00 56 42.5317 +60 43 00.265            | 1.18 | 2.29 | 2.39 | 2.32 | 2.40 |B0.5IVpe              |1113|   1
21 |* tau Per                |Al*|02 54 15.4684102508 +52 45 44.885218477| 5.17 | 4.71 | 3.96 | 3.33 | 2.89 |G8III+A7V             | 152|   0
22 |* omi02 Cyg              |Al*|20 15 28.3216287393 +47 42 51.221859715| 6.54 | 5.50 | 3.98 | 2.78 | 1.86 |K7Ib-II+B1V           | 315|   0
